Date,Time,Tweet,Client,Client Simplified,,,,,,,,,,,,,,,
10/19/16,2:05:18 PM,'Scandals surround Clinton's gatekeeper at State' #DrainTheSwamp https://t.co/xxTTZeMYAc,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/19/16,1:00:22 PM,The State Department's 'shadow government' #DrainTheSwamp https://t.co/UtbqlGrYJh,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/19/16,12:57:44 PM,More Anti-Catholic Emails From Team Clinton: https://t.co/KYirBbYjp2 https://t.co/f8Z7olUvlM,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/19/16,11:34:12 AM,It is time to #DrainTheSwamp! https://t.co/U2XeM2vDJK,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,9:28:27 PM,‘Food Groups’ – Emails Show Clinton Campaign Organized Potential VPs By Race And Gender: https://t.co/Qk1fOm1t8L,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,9:00:40 PM,#DrainTheSwamp https://t.co/wqqPjxfBoJ,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,8:53:43 PM,"Time to #DrainTheSwamp in Washington, D.C. and VOTE #TrumpPence16 on 11/8/2016. Together, we will MAKE AMERICA SAFE… https://t.co/rVcjXdWxzp",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,8:34:21 PM,Hillary is the most corrupt person to ever run for the presidency of the United States. #DrainTheSwamp https://t.co/xA3YO8YzCq,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,8:31:25 PM,'Clinton Campaign Tried to Limit Damage From Classified Info on Email Server' #DrainTheSwamp https://t.co/5j8WuKLL5o,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,5:42:34 PM,'Trump rally disrupter was once on Clinton's payroll' https://t.co/75oLLuD4SI,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,3:53:23 PM,Thank you Colorado Springs. If I’m elected President I am going to keep Radical Islamic Terrorists out of our count… https://t.co/N74UK73RLK,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,2:43:15 PM,"FL, KS, ME, MD, MN, NJ, OR & WV! It's the LAST DAY to mail in voter reg forms. Get the forms at… https://t.co/CbpgL6wynY",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,2:25:42 PM,"It is time to #DrainTheSwamp in Washington, D.C! Vote Nov. 8th to take down the #RIGGED system! https://t.co/Ox9hH13Q9I",Twitter Ads,Other,,,,,,,,,,,,,,,
10/18/16,2:05:45 PM,Hillary’s Aides Urged Her to Take Foreign Lobbyist Donation And Deal With Attacks: https://t.co/o2qvr1myIZ,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,12:15:20 PM,Nevada: A quick reminder that today is your last day to register to vote! https://t.co/ZnPgnu8vCS https://t.co/gF8ErCzTC1,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,11:36:44 AM,"If we let Crooked run the govt, history will remember 2017 as the year America lost its independence. #DrainTheSwamp https://t.co/VpYiO8CnXQ",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,11:34:06 AM,Pay-to-play. Collusion. Cover-ups. And now bribery? So CROOKED. I will #DrainTheSwamp. https://t.co/FNzMit7mD8,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,11:33:18 AM,"I will Make Our Government Honest Again -- believe me. But first, I'm going to have to #DrainTheSwamp in DC. https://t.co/m1lMAQPnIb",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/18/16,7:32:52 AM,"@THEREALMOGUL: 41% of American voters believe the election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico""""""@THEREALMOGUL: 41% of American voters believe the election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico""""""THEREALMOGUL: 41% of American voters believe the election could be """,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,10:07:55 PM,Great night in WI. I’m going to fight for every person in this country who believes government should serve the PEO… https://t.co/UIKwWNmwR7,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,9:43:34 PM,Donald J. Trump Ethics Reform Plan For Washington D.C. https://t.co/lKzas1SqUA,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,9:42:15 PM,EXCLUSIVE: FBI Agents Say Comey ‘Stood In The Way’ Of Clinton Email Investigation: https://t.co/6n63fHVvNo,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,6:51:31 PM,Get rich quick! Crooked Hillary Clinton's pay to play guide: https://t.co/uKh5sCFfrv,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,6:46:12 PM,Yet more evidence of a media-rigged election: https://t.co/rVh4ocgx3r,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,6:27:00 PM,"My wife, Melania, will be interviewed tonight at 8:00pm by Anderson Cooper on @CNN. I have no doubt she will do very well. Enjoy!",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,6:02:11 PM,I will sign the first bill to repeal #Obamacare and give Americans many choices and much lower rates!,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,5:44:31 PM,Trump Virginia Office Announces Statewide TV Ad Strategy and Leadership Team: https://t.co/wVJZTjY8bA https://t.co/JUBRu4mqCE,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,5:38:13 PM,"Join me in Colorado Springs, Colorado tomorrow at 1:00pm! #MAGA Tickets: https://t.co/ktFk8RuaUK",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,5:03:16 PM,Crooked Hillary colluded w/FBI and DOJ and media is covering up to protect her. It's a #RiggedSystem! Our country d… https://t.co/kuinRTImVJ,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/17/16,3:31:22 PM,"New polls are good because the media has deceived the public by putting women front and center with made-up stories and lies, and got caught",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,3:23:15 PM,"Journalists shower Hillary Clinton with campaign cash"" https://t.co/qZPPX0LO4X https://t.co/NsWbJN01Uu""""Journalists shower Hillary Clinton with campaign cash"" https://t.co/qZPPX0LO4X https://t.co/NsWbJN01Uu""""ournalists shower Hillary Clinton with campaign """,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,3:11:28 PM,"State Department official accused of offering 'quid pro quo' in Clinton email scandal"" https://t.co/XkmcKeyRPJ""""State Department official accused of offering 'quid pro quo' in Clinton email scandal"" https://t.co/XkmcKeyRPJ""""tate Department official""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,1:50:57 PM,Our thoughts are with the forces fighting ISIS in Iraq. We must never back down against this extreme radical Islami… https://t.co/oEoFIA8Rym,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/17/16,12:12:24 PM,"Wow, new polls just came out from @CNN Great numbers, especially after total media hit job. Leading Ohio 48 - 44.",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,11:50:00 AM,CORRUPTION CONFIRMED: FBI confirms State Dept. offered 'quid pro quo' to cover up classified emails https://t.co/A3mCNBLCsO,TweetDeck,Other,,,,,,,,,,,,,,,
10/17/16,11:24:31 AM,"Voter fraud! Crooked Hillary Clinton even got the questions to a debate, and nobody says a word. Can you imagine if I got the questions?",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,11:20:17 AM,Unbelievable. https://t.co/D7kpxlQPwU,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,11:12:51 AM,"_x1f6a8_BREAKING_x1f6a8_: State Department's Kennedy pressured FBI to unclassify Clinton emails: FBI documents"" https://t.co/GYYaneeysA""""x1f6a8_BREAKING_x1f6a8_: ""State Department's Kennedy pressured FBI to unclassify Clinton emails: FBI document""""1f6a8_BREAKING_x1f6a8_: ""State Department's Kennedy pressured FBI to unclassify Cli""""f6a8_BREAKING_x1f6a8_: ""State Department's Kennedy pressur""""6a8_BREAKING_x1f6a8_: ""State Depar""""a8_BREAKING""",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/17/16,10:58:32 AM,"WikiLeaks proves even the Clinton campaign knew Crooked mishandled classified info, but no one gets charged? RIGGED! https://t.co/FgGxDsS0a1",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/17/16,8:35:45 AM,We have all got to come together and win this election. We can't have four more years of Obama (or worse!).,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,8:33:48 AM,Of course there is large scale voter fraud happening on and before election day. Why do Republican leaders deny what is going on? So naive!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,8:28:57 AM,"@RosieGray: Peter Thiel chooses now to give $1.25mil in support of Trump https://t.co/sNEEB2n2TE""""""@RosieGray: Peter Thiel chooses now to give $1.25mil in support of Trump https://t.co/sNEEB2n2TE""""""""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,8:24:47 AM,"@PrisonPlanet: Trump accuser praised him in an email as recently as April! This is all yet another hoax. https://t.co/tcKzmIKpfS"" Terrible""""@PrisonPlanet: Trump accuser praised him in an email as recently as April! This is all yet another hoax. https://t.co/tcKzmIKpfS"" Terrible""""PrisonPla""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/17/16,8:19:33 AM,@MarkSimoneNY: Watch Joe Biden's Long History Of Grabbing," Kissing and Groping Women Who Are Cringing: https://t.co/1iQCMd25Dz""""""@MarkSimoneNY: Watch Joe Biden's Long History Of Grabbing"," Kissing and Groping Women Who Are Cringing: https://t.co/1iQCMd25Dz""""""""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,
10/17/16,8:15:50 AM,"Can't believe these totally phoney stories, 100% made up by women (many already proven false) and pushed big time by press, have impact!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,6:34:35 PM,"ALL SAFE IN ORANGE COUNTY, NORTH CAROLINA. With you all the way, will never forget. Now we have to win. Proud of you all! @NCGOP",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,6:29:46 PM,Animals representing Hillary Clinton and Dems in North Carolina just firebombed our office in Orange County because we are winning @NCGOP,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,6:15:33 PM,"Wow, interview released by Wikileakes shows quid pro quo"" in Crooked Hillary e-mail probe.Such a dishonest person - & Paul Ryan does zilch!""""ow"," interview released by Wikileakes shows ""quid pro quo"" in Crooked Hillary e-mail probe.Such """"w"," interview released by Wikileakes shows ""quid pro"""""," interv""",Twitter for Android,Twitter for Android,,,,,,,,,,,,
10/16/16,5:02:34 PM,"Finally, in the new ABC News/Washington Post Poll, Hillary Clinton is down 11 points with WOMEN VOTERS and the election is close at 47-43!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,4:54:37 PM,"Paul Ryan, a man who doesn't know how to win (including failed run four years ago), must start focusing on the budget, military, vets etc.",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,4:47:23 PM,"The Democrats have a corrupt political machine pushing crooked Hillary Clinton. We have Paul Ryan, always fighting the Republican nominee!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,4:13:36 PM,Join me in Wisconsin tomorrow or Colorado on Tuesday! Green Bay- 6pm https://t.co/9L917nvCBX Colorado Springs- 1pm… https://t.co/972GWZDGEp,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/16/16,3:26:11 PM,"“The vast majority felt she should be prosecuted... -- even senior FBI officials thought Crooked was guilty. https://t.co/AFtDs7HVlt""""The vast majority felt she should be prosecuted..."" -- even senior FBI officials """"he vast majority felt she shou""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/16/16,1:01:12 PM,The election is absolutely being rigged by the dishonest and distorted media pushing Crooked Hillary - but also at many polling places - SAD,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,12:07:58 PM,We've all wondered how Hillary avoided prosecution for her email scheme. Wikileaks may have found the answer. Obama! https://t.co/xF0wv8Oa8q,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/16/16,12:07:08 PM,Hillary's staff thought her email scandal might just blow over. Who would trust these people with national security? https://t.co/EvBCQoZRG2,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/16/16,9:15:03 AM,A country that Crooked Hillary says has funded ISIS also gave Wild Bill $1 million for his birthday? SO CORRUPT! https://t.co/00s5tgsXrM,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/16/16,9:12:17 AM,"They let Crooked & the Gang off the hook for the crime, but it looks like the cover-up is just as bad. Unbelievable! https://t.co/eWjHoq20Dw",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/16/16,8:31:40 AM,"Election is being rigged by the media, in a coordinated effort with the Clinton campaign, by putting stories that never happened into news!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,7:36:28 AM,"Polls close, but can you believe I lost large numbers of women voters based on made up events THAT NEVER HAPPENED. Media rigging election!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/16/16,7:14:00 AM,Watched Saturday Night Live hit job on me.Time to retire the boring and unfunny show. Alec Baldwin portrayal stinks. Media rigging election!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,8:06:08 PM,"@davidshiloach: @realDonaldTrump Go Mr. Trump! Israel is behind you!""""""@davidshiloach: @realDonaldTrump Go Mr. Trump! Israel is behind you!""""""""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,8:03:33 PM,Thank you for sharing Amy. https://t.co/StfzCeaQgH,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,8:03:06 PM,A great day in New Hampshire and Maine. Fantastic crowds and energy! #MAGA,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,7:11:27 PM,"Thank you Bangor, Maine! Get out & #VoteTrumpPence16 on 11/8/16- and together we will MAKE AMERICA SAFE AND GREAT A… https://t.co/sUSh8v07MW",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,6:49:18 PM,"The failing @nytimes reporters don't even call us anymore, they just write whatever they want to write, making up sources along the way!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,2:29:22 PM,Nothing ever happened with any of these women. Totally made up nonsense to steal the election. Nobody has more respect for women than me!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,2:11:06 PM,"The MOVEMENT in Portsmouth, New Hampshire w/ 7K supporters. THANK YOU! This is the biggest election of our lifetime… https://t.co/4otZyjYLc2",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,11:55:19 AM,"Landing in New Hampshire soon to talk about the massive drug problem there, and all over the country.",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,11:52:48 AM,The truth is a beautiful weapon. https://t.co/P7FrFhicvw,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,11:37:39 AM,Mr. Trump removing the broken teleprompter in North Carolina-in front of a massive crowd. He goes on&delivers the b… https://t.co/dyNxc1HDTW,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,8:23:08 AM,Hillary Clinton should have been prosecuted and should be in jail. Instead she is running for president in what looks like a rigged election,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,8:17:06 AM,"Will be in Bangor, Maine today at 3pm- join me! #MAGA Tickets: https://t.co/NY7E1FBOB7 https://t.co/5TN2wvnR7J",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/15/16,7:45:58 AM,"This election is being rigged by the media pushing false and unsubstantiated charges, and outright lies, in order to elect Crooked Hillary!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/15/16,6:51:40 AM,"100% fabricated and made-up charges, pushed strongly by the media and the Clinton Campaign, may poison the minds of the American Voter. FIX!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/14/16,11:05:29 PM,Thank you @TrumpWomensTour! #MakeAmericaGreatAgain https://t.co/R4oxaHpsAB,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/14/16,9:14:08 PM,"Thank you Charlotte, North Carolina! We are going to have an AMAZING victory on November 8th...because this is all… https://t.co/A7Ql7KuMfT",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/14/16,4:21:25 PM,Make sure you're registered to vote! Let's #MakeAmericaGreatAgain! We can't afford more years of FAILURE! All info:… https://t.co/MgV5urLhB0,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/14/16,3:28:18 PM,"Thank you for your support Greensboro, North Carolina. Next stop - Charlotte! #MAGA https://t.co/3KWOl2ibaW https://t.co/jjde4W1hz2",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/14/16,11:23:38 AM,WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGN’S ANTI-CATHOLIC BIGOTRY: https://t.co/oRUlaT4zbn,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,9:18:07 PM,"Thank you to our U.S. Navy for protecting our country, both in times of peace & war. Together, WE WILL MAKE AMERICA… https://t.co/v23jCl4tEQ",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,7:53:56 PM,"Join me live in Cincinnati, Ohio! #TrumpRally #MAGA https://t.co/MzqgNNVfZb",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,7:28:02 PM,"Join me in Greensboro, North Carolina tomorrow at 2:00pm! #TrumpRally https://t.co/vpLryxCyoq https://t.co/dRra2AqayJ",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,6:51:17 PM,Dem Gov. of MN. just announced that the Affordable Care Act (Obamacare) is no longer affordable. I've been saying this for years- disaster!,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,6:50:04 PM,"This is a crossroads in the history of our civilization that will determine whether or not We The People reclaim c… https://t.co/a84WMHpSYy""""This is a crossroads in the history of our civilization that will determine whether or not We The People reclaim c… https://t.co/a84WMHpSYy""",Twitter Ads,Other,,,,,,,,,,,,,,,
10/13/16,6:14:56 PM,Great event in Columbus- taking off for Cincinnati now. Great new Ohio poll out- thank you! OHIO NBC/WSJ/MARIST POLL Trump 42% Clinton 41%,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,4:04:14 PM,Just left a great rally in Florida - now heading to Ohio for two more. Will be there soon.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,11:28:34 AM,"I am making a major speech in West Palm Beach, Florida at noon. Tune in!",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,11:27:27 AM,Thank you! #MAGA #AmericaFirst https://t.co/fG313wjlKm,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,9:52:14 AM,"Join me in Ohio & Maine! Cincinnati, Ohio- tonight @ 7:30pm: https://t.co/XlHGD1VrMo Bangor, Maine - Saturday @ 3pm… https://t.co/DYHPQYBwpK",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/13/16,9:35:12 AM,The phony story in the failing @nytimes is a TOTAL FABRICATION. Written by same people as last discredited story on women. WATCH!,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/13/16,9:09:45 AM,"Why didn't the writer of the twelve year old article in People Magazine mention the incident"" in her story. Because it did not happen!""""hy didn't the writer of the twelve year old articl""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/12/16,6:59:48 PM,"I will be in Cincinnati, Ohio tomorrow night at 7:30pm- join me! #OhioVotesEarly #VoteTrumpPence16 Tickets:… https://t.co/Bp5iHKbT2d",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/12/16,5:01:31 PM,"The MOVEMENT in Lakeland, Florida. Voter registration extended to 10/18. REGISTER ASAP @ https://t.co/HfihPERFgZ &… https://t.co/PygIlshrgv",Twitter for iPad,Other,,,,,,,,,,,,,,,
10/12/16,3:20:48 PM,The people of Cuba have struggled too long. Will reverse Obama's Executive Orders and concessions towards Cuba until freedoms are restored.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/12/16,10:00:48 AM,PAY TO PLAY POLITICS. #CrookedHillary https://t.co/wjsl8ITVvk,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/12/16,9:46:43 AM,Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/12/16,8:59:05 AM,Crooked Hillary Clinton likes to talk about the things she will do but she has been there for 30 years - why didn't she do them?,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/12/16,12:04:47 AM,Thank you Florida- a MOVEMENT that has never been seen before and will never be seen again. Lets get out &… https://t.co/t9XM9wFDZI,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,8:56:06 PM,"Join me Thursday in Florida & Ohio! West Palm Beach, FL at noon: https://t.co/jwbZnQhxg9 Cincinnati, OH this 7:30pm: https://t.co/5w2UhalPIx",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,7:04:25 PM,"Wow, @CNN Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary & CNN FRAUD!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/11/16,5:35:41 PM,Thank you Texas! If you haven't registered to VOTE- today is your last day. Go to: https://t.co/HfihPEA3Sp & get ou… https://t.co/gxbDRD4x2k,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,4:56:33 PM,VOTER REGISTRATION DEADLINES TODAY. You can register now at: https://t.co/HfihPEA3Sp and get out to… https://t.co/LlFdF0DRX4,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,2:43:35 PM,DON'T LET HER FOOL US AGAIN. https://t.co/3QSoADFh7S,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,2:29:59 PM,"Crooked's State Dept gave special attention to Friends of Bill"" after the Haiti Earthquake. Unbelievable! https://t.co/opP2l8ln0J""""rooked's State Dept gave special attention to ""Friends of Bill"" after the Haiti Ea""""ooked's State Dept gave special att""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,1:43:06 PM,I hope people are looking at the disgraceful behavior of Hillary Clinton as exposed by WikiLeaks. She is unfit to run.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,1:12:35 PM,"In Texas now, leaving soon for BIG rally in Florida!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/11/16,12:52:28 PM,"The very foul mouthed Sen. John McCain begged for my support during his primary (I gave, he won), then dropped me over locker room remarks!",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/11/16,12:11:41 PM,"13 states have voter registration deadlines TODAY: FL, OH, PA, MI, GA, TX, NM, IN, LA, TN, AR, KY, SC. Register: https://t.co/wAtnFpN6wL",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,11:25:11 AM,Wow. Unbelievable. https://t.co/RcBPCcmwnD,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,10:48:29 AM,Disloyal R's are far more difficult than Crooked Hillary. They come at you from all sides. They don’t know how to win - I will teach them!,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,10:15:10 AM,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/11/16,10:00:38 AM,It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/11/16,9:05:53 AM,"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty.",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/11/16,8:16:57 AM,"Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/10/16,9:33:32 PM,"Thank you Pennsylvania. This is a MOVEMENT like we have never seen before! #VoteTrumpPence16 on 11/8/16- together,… https://t.co/x0197JL5RU",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/10/16,6:31:52 PM,Is this really America? Terrible! https://t.co/WiwC61PIFu,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/10/16,3:31:04 PM,"Wow, @CNN got caught fixing their focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!""""ow"," @CNN got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Real""""w"," @CNN got caught fixing their ""focus group"" in order to make """""," @CNN got caught fixing their""",Twitter for Android,Twitter for Android,,,,,,,,,,,,
10/10/16,3:22:56 PM,Debate polls look great - thank you! #MAGA #AmericaFirst https://t.co/4peQ3Sswdz,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/10/16,3:14:00 PM,CNN is the worst - fortunately they have bad ratings because everyone knows they are biased. https://t.co/oFRfNY2rUY,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/10/16,1:22:22 PM,"Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/10/16,1:08:21 PM,Thank you for all of the great comments on the debate last night. Very exciting!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/9/16,11:39:21 PM,"Thank you St. Louis, Missouri! #MakeAmericaGreatAgain https://t.co/2llBltf0mE https://t.co/wBmVxf1a9D",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,11:01:22 PM,RT @mike_pence: Congrats to my running mate @realDonaldTrump on a big debate win! Proud to stand with you as we #MAGA.,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:55:25 PM,RT @TeamTrump: RT if you agree @realDonaldTrump WON the #Debate- BIG LEAGUE! #MAGA https://t.co/EmwDZ32uAZ,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:42:40 PM,RT @DonaldJTrumpJr: Someone please fact check her coal comments. Give me a break. #debates,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:41:32 PM,RT @TeamTrump: It’s US vs. them! @realDonaldTrump will fight for you! #BigLeagueTruth #Debates,Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
10/9/16,10:31:41 PM,MY PRO-GROWTH Econ Plan: _Eliminate excessive regulations! _Lean government! _Lower taxes! #Debates … https://t.co/OchcnuSAgR,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/9/16,10:30:17 PM,"Hypocrite: @HillaryClinton is the single biggest beneficiary of Citizens United in history, by far. #debate #bigleaguetruth",Twitter Web Client,Twitter Web Client,,,,,,,,,,,,,,,
